query_name,best_index_type,best_execution_time
multi_table_query,reverse,0.007380962371826172
multi_table_query_bitmap,bitmap,0.0023622512817382812
multi_table_query_btree,btree,0.0053615570068359375
multi_table_query_gist,gist,0.0038056373596191406
multi_table_query_hash,hash,0.005370616912841797
multiple_status_or,bitmap,0.2974395751953125
multiple_status_or_btree,btree,0.2968599796295166
multiple_status_or_gist,gist,0.2995004653930664
multiple_status_or_hash,hash,0.3249938488006592
multiple_status_or_reverse,reverse,0.29596447944641113
numeric_id_query,reverse,0.0020248889923095703
numeric_id_query_bitmap,bitmap,0.006437063217163086
numeric_id_query_btree,btree,0.001965761184692383
numeric_id_query_gist,gist,0.005522251129150391
numeric_id_query_hash,hash,0.0054509639739990234
order_details,hash,0.039728641510009766
order_details_bitmap,bitmap,0.03738856315612793
order_details_btree,btree,0.0061070919036865234
order_details_gist,gist,0.04447364807128906
order_details_reverse,reverse,0.046630859375
order_history,btree,0.15026211738586426
order_history_bitmap,bitmap,0.17143559455871582
order_history_gist,gist,0.1482524871826172
order_history_hash,hash,0.1525118350982666
order_history_reverse,reverse,0.17093753814697266
order_status_analysis,bitmap,0.027490615844726562
order_status_analysis_btree,btree,0.014980077743530273
order_status_analysis_gist,gist,0.01887679100036621
order_status_analysis_hash,hash,0.02724623680114746
order_status_analysis_reverse,reverse,0.02801036834716797
order_status_by_month,bitmap,0.12657618522644043
order_status_by_month_btree,btree,0.12761831283569336
order_status_by_month_gist,gist,0.12406325340270996
order_status_by_month_hash,hash,0.12893176078796387
order_status_by_month_reverse,reverse,0.12782883644104004
order_status_query,bitmap,0.1463162899017334
order_status_query_btree,btree,0.1531050205230713
order_status_query_gist,gist,0.160569429397583
order_status_query_hash,hash,0.16930913925170898
order_status_query_reverse,reverse,0.15691900253295898
order_status_summary,bitmap,0.04608035087585449
order_status_summary_btree,btree,0.047406911849975586
order_status_summary_gist,gist,0.0558934211730957
order_status_summary_hash,hash,0.04906296730041504
order_status_summary_reverse,reverse,0.046353816986083984
phone_area_code,reverse,0.004205465316772461
phone_area_code_bitmap,bitmap,0.00654292106628418
phone_area_code_btree,btree,0.0069561004638671875
phone_area_code_gist,gist,0.0031740665435791016
phone_area_code_hash,hash,0.0063610076904296875
prefix_email_match,btree,0.0034475326538085938
prefix_email_match_bitmap,bitmap,0.002638101577758789
prefix_email_match_gist,gist,0.007632017135620117
prefix_email_match_hash,hash,0.01135396957397461
prefix_email_match_reverse,reverse,0.0026993751525878906
price_range_products,btree,0.0035943984985351562
price_range_products_bitmap,bitmap,0.007091045379638672
price_range_products_gist,gist,0.006475210189819336
price_range_products_hash,hash,0.008535623550415039
price_range_products_reverse,reverse,0.0057833194732666016
product_description_search,gist,0.011934757232666016
product_description_search_bitmap,bitmap,0.011597394943237305
product_description_search_btree,btree,0.011183977127075195
product_description_search_hash,hash,0.01129460334777832
product_description_search_reverse,reverse,0.012759208679199219
product_details,hash,0.04185986518859863
product_details_bitmap,bitmap,0.04283642768859863
product_details_btree,btree,0.0038268566131591797
product_details_gist,gist,0.0390622615814209
product_details_reverse,reverse,0.04262089729309082
product_info,hash,0.00397181510925293
product_info_bitmap,bitmap,0.006380796432495117
product_info_btree,btree,0.0020134449005126953
product_info_gist,gist,0.005096912384033203
product_info_reverse,reverse,0.001968860626220703
product_model_search,reverse,0.006700277328491211
product_model_search_bitmap,bitmap,0.002507448196411133
product_model_search_btree,btree,0.001873016357421875
